lang,QID,policy_name_en
co,Q4663261,Wikipedia:Stub
csb,Q4663261,Wikipedia:Stub
cs,Q4663261,Wikipedia:Stub
cy,Q4663261,Wikipedia:Stub
da,Q4663261,Wikipedia:Stub
de,Q4663261,Wikipedia:Stub
dsb,Q4663261,Wikipedia:Stub
el,Q4663261,Wikipedia:Stub
en,Q4663261,Wikipedia:Stub
eo,Q4663261,Wikipedia:Stub
es,Q4663261,Wikipedia:Stub
eu,Q4663261,Wikipedia:Stub
fa,Q4663261,Wikipedia:Stub
fi,Q4663261,Wikipedia:Stub
fo,Q4663261,Wikipedia:Stub
fr,Q4663261,Wikipedia:Stub
fur,Q4663261,Wikipedia:Stub
gan,Q4663261,Wikipedia:Stub
ga,Q4663261,Wikipedia:Stub
gl,Q4663261,Wikipedia:Stub
gn,Q4663261,Wikipedia:Stub
gor,Q4663261,Wikipedia:Stub
gu,Q4663261,Wikipedia:Stub
gv,Q4663261,Wikipedia:Stub
haw,Q4663261,Wikipedia:Stub
he,Q4663261,Wikipedia:Stub
hr,Q4663261,Wikipedia:Stub
hsb,Q4663261,Wikipedia:Stub
hu,Q4663261,Wikipedia:Stub
hy,Q4663261,Wikipedia:Stub
hyw,Q4663261,Wikipedia:Stub
ia,Q4663261,Wikipedia:Stub
id,Q4663261,Wikipedia:Stub
ilo,Q4663261,Wikipedia:Stub
io,Q4663261,Wikipedia:Stub
is,Q4663261,Wikipedia:Stub
it,Q4663261,Wikipedia:Stub
iu,Q4663261,Wikipedia:Stub
ja,Q4663261,Wikipedia:Stub
jbo,Q4663261,Wikipedia:Stub
jv,Q4663261,Wikipedia:Stub
kk,Q4663261,Wikipedia:Stub
km,Q4663261,Wikipedia:Stub
kn,Q4663261,Wikipedia:Stub
ko,Q4663261,Wikipedia:Stub
ksh,Q4663261,Wikipedia:Stub
ks,Q4663261,Wikipedia:Stub
ku,Q4663261,Wikipedia:Stub
kw,Q4663261,Wikipedia:Stub
lad,Q4663261,Wikipedia:Stub
la,Q4663261,Wikipedia:Stub
lbe,Q4663261,Wikipedia:Stub
lg,Q4663261,Wikipedia:Stub
lt,Q4663261,Wikipedia:Stub
lv,Q4663261,Wikipedia:Stub
mad,Q4663261,Wikipedia:Stub
min,Q4663261,Wikipedia:Stub
mk,Q4663261,Wikipedia:Stub
ms,Q4663261,Wikipedia:Stub
mt,Q4663261,Wikipedia:Stub
mwl,Q4663261,Wikipedia:Stub
my,Q4663261,Wikipedia:Stub
nap,Q4663261,Wikipedia:Stub
na,Q4663261,Wikipedia:Stub
nds,Q4663261,Wikipedia:Stub
ne,Q4663261,Wikipedia:Stub
nl,Q4663261,Wikipedia:Stub
nn,Q4663261,Wikipedia:Stub
no,Q4663261,Wikipedia:Stub
nrm,Q4663261,Wikipedia:Stub
oc,Q4663261,Wikipedia:Stub
om,Q4663261,Wikipedia:Stub
or,Q4663261,Wikipedia:Stub
os,Q4663261,Wikipedia:Stub
pa,Q4663261,Wikipedia:Stub
pl,Q4663261,Wikipedia:Stub
pt,Q4663261,Wikipedia:Stub
roa-rup,Q4663261,Wikipedia:Stub
ro,Q4663261,Wikipedia:Stub
rue,Q4663261,Wikipedia:Stub
ru,Q4663261,Wikipedia:Stub
sah,Q4663261,Wikipedia:Stub
sat,Q4663261,Wikipedia:Stub
scn,Q4663261,Wikipedia:Stub
sco,Q4663261,Wikipedia:Stub
sd,Q4663261,Wikipedia:Stub
se,Q4663261,Wikipedia:Stub
shn,Q4663261,Wikipedia:Stub
sh,Q4663261,Wikipedia:Stub
simple,Q4663261,Wikipedia:Stub
si,Q4663261,Wikipedia:Stub
sk,Q4663261,Wikipedia:Stub
sl,Q4663261,Wikipedia:Stub
smn,Q4663261,Wikipedia:Stub
sq,Q4663261,Wikipedia:Stub
sr,Q4663261,Wikipedia:Stub
su,Q4663261,Wikipedia:Stub
sv,Q4663261,Wikipedia:Stub
szl,Q4663261,Wikipedia:Stub
ta,Q4663261,Wikipedia:Stub
te,Q4663261,Wikipedia:Stub
tg,Q4663261,Wikipedia:Stub
th,Q4663261,Wikipedia:Stub
tl,Q4663261,Wikipedia:Stub
tr,Q4663261,Wikipedia:Stub
tt,Q4663261,Wikipedia:Stub
uk,Q4663261,Wikipedia:Stub
ur,Q4663261,Wikipedia:Stub
uz,Q4663261,Wikipedia:Stub
vec,Q4663261,Wikipedia:Stub
vep,Q4663261,Wikipedia:Stub
vi,Q4663261,Wikipedia:Stub
vo,Q4663261,Wikipedia:Stub
war,Q4663261,Wikipedia:Stub
wa,Q4663261,Wikipedia:Stub
wuu,Q4663261,Wikipedia:Stub
yi,Q4663261,Wikipedia:Stub
yo,Q4663261,Wikipedia:Stub
zh-min-nan,Q4663261,Wikipedia:Stub
zh-yue,Q4663261,Wikipedia:Stub
zh,Q4663261,Wikipedia:Stub
ar,Q55386965,Project:Interface administrators
ary,Q55386965,Project:Interface administrators
ast,Q55386965,Project:Interface administrators
av,Q55386965,Project:Interface administrators
azb,Q55386965,Project:Interface administrators
az,Q55386965,Project:Interface administrators
bg,Q55386965,Project:Interface administrators
bn,Q55386965,Project:Interface administrators
br,Q55386965,Project:Interface administrators
bs,Q55386965,Project:Interface administrators
ca,Q55386965,Project:Interface administrators
ckb,Q55386965,Project:Interface administrators
cs,Q55386965,Project:Interface administrators
dag,Q55386965,Project:Interface administrators
da,Q55386965,Project:Interface administrators
de,Q55386965,Project:Interface administrators
el,Q55386965,Project:Interface administrators
en,Q55386965,Project:Interface administrators
eo,Q55386965,Project:Interface administrators
es,Q55386965,Project:Interface administrators
fa,Q55386965,Project:Interface administrators
fi,Q55386965,Project:Interface administrators
fr,Q55386965,Project:Interface administrators
gu,Q55386965,Project:Interface administrators
he,Q55386965,Project:Interface administrators
hr,Q55386965,Project:Interface administrators
hu,Q55386965,Project:Interface administrators
hy,Q55386965,Project:Interface administrators
id,Q55386965,Project:Interface administrators
ilo,Q55386965,Project:Interface administrators
inh,Q55386965,Project:Interface administrators
it,Q55386965,Project:Interface administrators
ja,Q55386965,Project:Interface administrators
ka,Q55386965,Project:Interface administrators
ko,Q55386965,Project:Interface administrators
ks,Q55386965,Project:Interface administrators
lij,Q55386965,Project:Interface administrators
lv,Q55386965,Project:Interface administrators
ml,Q55386965,Project:Interface administrators
mr,Q55386965,Project:Interface administrators
ms,Q55386965,Project:Interface administrators
nl,Q55386965,Project:Interface administrators
no,Q55386965,Project:Interface administrators
pa,Q55386965,Project:Interface administrators
pl,Q55386965,Project:Interface administrators
ps,Q55386965,Project:Interface administrators
pt,Q55386965,Project:Interface administrators
ro,Q55386965,Project:Interface administrators
ru,Q55386965,Project:Interface administrators
sd,Q55386965,Project:Interface administrators
shn,Q55386965,Project:Interface administrators
sh,Q55386965,Project:Interface administrators
simple,Q55386965,Project:Interface administrators
sk,Q55386965,Project:Interface administrators
sq,Q55386965,Project:Interface administrators
sr,Q55386965,Project:Interface administrators
sv,Q55386965,Project:Interface administrators
ta,Q55386965,Project:Interface administrators
tg,Q55386965,Project:Interface administrators
th,Q55386965,Project:Interface administrators
tr,Q55386965,Project:Interface administrators
uk,Q55386965,Project:Interface administrators
ur,Q55386965,Project:Interface administrators
uz,Q55386965,Project:Interface administrators
vec,Q55386965,Project:Interface administrators
vi,Q55386965,Project:Interface administrators
zh-yue,Q55386965,Project:Interface administrators
zh,Q55386965,Project:Interface administrators
ab,Q3186256,Wikipedia:Article titles
af,Q3186256,Wikipedia:Article titles
als,Q3186256,Wikipedia:Article titles
ar,Q3186256,Wikipedia:Article titles
arz,Q3186256,Wikipedia:Article titles
ast,Q3186256,Wikipedia:Article titles
as,Q3186256,Wikipedia:Article titles
azb,Q3186256,Wikipedia:Article titles
az,Q3186256,Wikipedia:Article titles
bar,Q3186256,Wikipedia:Article titles
ba,Q3186256,Wikipedia:Article titles
be-tarask,Q3186256,Wikipedia:Article titles
be,Q3186256,Wikipedia:Article titles
bg,Q3186256,Wikipedia:Article titles
bh,Q3186256,Wikipedia:Article titles
bn,Q3186256,Wikipedia:Article titles
ca,Q3186256,Wikipedia:Article titles
ceb,Q3186256,Wikipedia:Article titles
ckb,Q3186256,Wikipedia:Article titles
cs,Q3186256,Wikipedia:Article titles
cv,Q3186256,Wikipedia:Article titles
cy,Q3186256,Wikipedia:Article titles
da,Q3186256,Wikipedia:Article titles
de,Q3186256,Wikipedia:Article titles
diq,Q3186256,Wikipedia:Article titles
el,Q3186256,Wikipedia:Article titles
en,Q3186256,Wikipedia:Article titles
eo,Q3186256,Wikipedia:Article titles
es,Q3186256,Wikipedia:Article titles
et,Q3186256,Wikipedia:Article titles
fa,Q3186256,Wikipedia:Article titles
fi,Q3186256,Wikipedia:Article titles
fo,Q3186256,Wikipedia:Article titles
fr,Q3186256,Wikipedia:Article titles
gl,Q3186256,Wikipedia:Article titles
he,Q3186256,Wikipedia:Article titles
hi,Q3186256,Wikipedia:Article titles
hr,Q3186256,Wikipedia:Article titles
hu,Q3186256,Wikipedia:Article titles
hy,Q3186256,Wikipedia:Article titles
ia,Q3186256,Wikipedia:Article titles
id,Q3186256,Wikipedia:Article titles
inh,Q3186256,Wikipedia:Article titles
is,Q3186256,Wikipedia:Article titles
it,Q3186256,Wikipedia:Article titles
ja,Q3186256,Wikipedia:Article titles
jv,Q3186256,Wikipedia:Article titles
ka,Q3186256,Wikipedia:Article titles
kk,Q3186256,Wikipedia:Article titles
ko,Q3186256,Wikipedia:Article titles
la,Q3186256,Wikipedia:Article titles
lb,Q3186256,Wikipedia:Article titles
lt,Q3186256,Wikipedia:Article titles
lv,Q3186256,Wikipedia:Article titles
min,Q3186256,Wikipedia:Article titles
mk,Q3186256,Wikipedia:Article titles
ml,Q3186256,Wikipedia:Article titles
ms,Q3186256,Wikipedia:Article titles
mt,Q3186256,Wikipedia:Article titles
my,Q3186256,Wikipedia:Article titles
nds,Q3186256,Wikipedia:Article titles
ne,Q3186256,Wikipedia:Article titles
nl,Q3186256,Wikipedia:Article titles
nn,Q3186256,Wikipedia:Article titles
no,Q3186256,Wikipedia:Article titles
or,Q3186256,Wikipedia:Article titles
pl,Q3186256,Wikipedia:Article titles
pt,Q3186256,Wikipedia:Article titles
qu,Q3186256,Wikipedia:Article titles
ro,Q3186256,Wikipedia:Article titles
rue,Q3186256,Wikipedia:Article titles
ru,Q3186256,Wikipedia:Article titles
sah,Q3186256,Wikipedia:Article titles
sa,Q3186256,Wikipedia:Article titles
scn,Q3186256,Wikipedia:Article titles
sd,Q3186256,Wikipedia:Article titles
shn,Q3186256,Wikipedia:Article titles
sh,Q3186256,Wikipedia:Article titles
si,Q3186256,Wikipedia:Article titles
sk,Q3186256,Wikipedia:Article titles
sl,Q3186256,Wikipedia:Article titles
sq,Q3186256,Wikipedia:Article titles
sr,Q3186256,Wikipedia:Article titles
sv,Q3186256,Wikipedia:Article titles
ta,Q3186256,Wikipedia:Article titles
tg,Q3186256,Wikipedia:Article titles
th,Q3186256,Wikipedia:Article titles
tl,Q3186256,Wikipedia:Article titles
tr,Q3186256,Wikipedia:Article titles
tt,Q3186256,Wikipedia:Article titles
uk,Q3186256,Wikipedia:Article titles
ur,Q3186256,Wikipedia:Article titles
uz,Q3186256,Wikipedia:Article titles
vec,Q3186256,Wikipedia:Article titles
vi,Q3186256,Wikipedia:Article titles
wuu,Q3186256,Wikipedia:Article titles
xal,Q3186256,Wikipedia:Article titles
yi,Q3186256,Wikipedia:Article titles
zh-yue,Q3186256,Wikipedia:Article titles
zh,Q3186256,Wikipedia:Article titles
af,Q4616470,Project:Protection policy
ang,Q4616470,Project:Protection policy
an,Q4616470,Project:Protection policy
ar,Q4616470,Project:Protection policy
arz,Q4616470,Project:Protection policy
as,Q4616470,Project:Protection policy
azb,Q4616470,Project:Protection policy
az,Q4616470,Project:Protection policy
be-tarask,Q4616470,Project:Protection policy
bg,Q4616470,Project:Protection policy
bn,Q4616470,Project:Protection policy
bs,Q4616470,Project:Protection policy
ca,Q4616470,Project:Protection policy
ceb,Q4616470,Project:Protection policy
ckb,Q4616470,Project:Protection policy
cs,Q4616470,Project:Protection policy
cy,Q4616470,Project:Protection policy
da,Q4616470,Project:Protection policy
de,Q4616470,Project:Protection policy
dv,Q4616470,Project:Protection policy
el,Q4616470,Project:Protection policy
en,Q4616470,Project:Protection policy
eo,Q4616470,Project:Protection policy
es,Q4616470,Project:Protection policy
et,Q4616470,Project:Protection policy
fa,Q4616470,Project:Protection policy
fi,Q4616470,Project:Protection policy
fo,Q4616470,Project:Protection policy
fr,Q4616470,Project:Protection policy
gl,Q4616470,Project:Protection policy
he,Q4616470,Project:Protection policy
hi,Q4616470,Project:Protection policy
hr,Q4616470,Project:Protection policy
hu,Q4616470,Project:Protection policy
hy,Q4616470,Project:Protection policy
id,Q4616470,Project:Protection policy
ilo,Q4616470,Project:Protection policy
is,Q4616470,Project:Protection policy
it,Q4616470,Project:Protection policy
ja,Q4616470,Project:Protection policy
jv,Q4616470,Project:Protection policy
ka,Q4616470,Project:Protection policy
km,Q4616470,Project:Protection policy
ko,Q4616470,Project:Protection policy
ks,Q4616470,Project:Protection policy
ku,Q4616470,Project:Protection policy
la,Q4616470,Project:Protection policy
lb,Q4616470,Project:Protection policy
lt,Q4616470,Project:Protection policy
mk,Q4616470,Project:Protection policy
mn,Q4616470,Project:Protection policy
mr,Q4616470,Project:Protection policy
ms,Q4616470,Project:Protection policy
mt,Q4616470,Project:Protection policy
my,Q4616470,Project:Protection policy
ne,Q4616470,Project:Protection policy
nl,Q4616470,Project:Protection policy
no,Q4616470,Project:Protection policy
or,Q4616470,Project:Protection policy
pl,Q4616470,Project:Protection policy
pt,Q4616470,Project:Protection policy
ro,Q4616470,Project:Protection policy
ru,Q4616470,Project:Protection policy
sah,Q4616470,Project:Protection policy
sc,Q4616470,Project:Protection policy
sd,Q4616470,Project:Protection policy
sg,Q4616470,Project:Protection policy
simple,Q4616470,Project:Protection policy
si,Q4616470,Project:Protection policy
sk,Q4616470,Project:Protection policy
sl,Q4616470,Project:Protection policy
so,Q4616470,Project:Protection policy
sr,Q4616470,Project:Protection policy
su,Q4616470,Project:Protection policy
sv,Q4616470,Project:Protection policy
ta,Q4616470,Project:Protection policy
te,Q4616470,Project:Protection policy
th,Q4616470,Project:Protection policy
tr,Q4616470,Project:Protection policy
udm,Q4616470,Project:Protection policy
uk,Q4616470,Project:Protection policy
ur,Q4616470,Project:Protection policy
uz,Q4616470,Project:Protection policy
vec,Q4616470,Project:Protection policy
vi,Q4616470,Project:Protection policy
xmf,Q4616470,Project:Protection policy
yi,Q4616470,Project:Protection policy
zh-yue,Q4616470,Project:Protection policy
zh,Q4616470,Project:Protection policy
af,Q4664011,Wikipedia:Vandalism
als,Q4664011,Wikipedia:Vandalism
ang,Q4664011,Wikipedia:Vandalism
ar,Q4664011,Wikipedia:Vandalism
arz,Q4664011,Wikipedia:Vandalism
ast,Q4664011,Wikipedia:Vandalism
as,Q4664011,Wikipedia:Vandalism
azb,Q4664011,Wikipedia:Vandalism
az,Q4664011,Wikipedia:Vandalism
ba,Q4664011,Wikipedia:Vandalism
be-tarask,Q4664011,Wikipedia:Vandalism
be,Q4664011,Wikipedia:Vandalism
bg,Q4664011,Wikipedia:Vandalism
bjn,Q4664011,Wikipedia:Vandalism
bn,Q4664011,Wikipedia:Vandalism
bs,Q4664011,Wikipedia:Vandalism
bxr,Q4664011,Wikipedia:Vandalism
ca,Q4664011,Wikipedia:Vandalism
ceb,Q4664011,Wikipedia:Vandalism
ce,Q4664011,Wikipedia:Vandalism
chr,Q4664011,Wikipedia:Vandalism
ckb,Q4664011,Wikipedia:Vandalism
cs,Q4664011,Wikipedia:Vandalism
da,Q4664011,Wikipedia:Vandalism
de,Q4664011,Wikipedia:Vandalism
diq,Q4664011,Wikipedia:Vandalism
el,Q4664011,Wikipedia:Vandalism
en,Q4664011,Wikipedia:Vandalism
eo,Q4664011,Wikipedia:Vandalism
es,Q4664011,Wikipedia:Vandalism
et,Q4664011,Wikipedia:Vandalism
eu,Q4664011,Wikipedia:Vandalism
fa,Q4664011,Wikipedia:Vandalism
fi,Q4664011,Wikipedia:Vandalism
fo,Q4664011,Wikipedia:Vandalism
fr,Q4664011,Wikipedia:Vandalism
gl,Q4664011,Wikipedia:Vandalism
gn,Q4664011,Wikipedia:Vandalism
he,Q4664011,Wikipedia:Vandalism
hi,Q4664011,Wikipedia:Vandalism
hr,Q4664011,Wikipedia:Vandalism
hsb,Q4664011,Wikipedia:Vandalism
hu,Q4664011,Wikipedia:Vandalism
hy,Q4664011,Wikipedia:Vandalism
id,Q4664011,Wikipedia:Vandalism
ilo,Q4664011,Wikipedia:Vandalism
is,Q4664011,Wikipedia:Vandalism
it,Q4664011,Wikipedia:Vandalism
ja,Q4664011,Wikipedia:Vandalism
jv,Q4664011,Wikipedia:Vandalism
ka,Q4664011,Wikipedia:Vandalism
kk,Q4664011,Wikipedia:Vandalism
km,Q4664011,Wikipedia:Vandalism
ko,Q4664011,Wikipedia:Vandalism
la,Q4664011,Wikipedia:Vandalism
lb,Q4664011,Wikipedia:Vandalism
ltg,Q4664011,Wikipedia:Vandalism
lt,Q4664011,Wikipedia:Vandalism
lv,Q4664011,Wikipedia:Vandalism
mk,Q4664011,Wikipedia:Vandalism
ml,Q4664011,Wikipedia:Vandalism
mn,Q4664011,Wikipedia:Vandalism
ms,Q4664011,Wikipedia:Vandalism
nds-nl,Q4664011,Wikipedia:Vandalism
ne,Q4664011,Wikipedia:Vandalism
nl,Q4664011,Wikipedia:Vandalism
nn,Q4664011,Wikipedia:Vandalism
no,Q4664011,Wikipedia:Vandalism
oc,Q4664011,Wikipedia:Vandalism
pl,Q4664011,Wikipedia:Vandalism
pt,Q4664011,Wikipedia:Vandalism
qu,Q4664011,Wikipedia:Vandalism
ro,Q4664011,Wikipedia:Vandalism
ru,Q4664011,Wikipedia:Vandalism
scn,Q4664011,Wikipedia:Vandalism
sco,Q4664011,Wikipedia:Vandalism
sd,Q4664011,Wikipedia:Vandalism
se,Q4664011,Wikipedia:Vandalism
sh,Q4664011,Wikipedia:Vandalism
simple,Q4664011,Wikipedia:Vandalism
sk,Q4664011,Wikipedia:Vandalism
sl,Q4664011,Wikipedia:Vandalism
sr,Q4664011,Wikipedia:Vandalism
sv,Q4664011,Wikipedia:Vandalism
sw,Q4664011,Wikipedia:Vandalism
te,Q4664011,Wikipedia:Vandalism
tg,Q4664011,Wikipedia:Vandalism
th,Q4664011,Wikipedia:Vandalism
tl,Q4664011,Wikipedia:Vandalism
tr,Q4664011,Wikipedia:Vandalism
tt,Q4664011,Wikipedia:Vandalism
uk,Q4664011,Wikipedia:Vandalism
ur,Q4664011,Wikipedia:Vandalism
uz,Q4664011,Wikipedia:Vandalism
vec,Q4664011,Wikipedia:Vandalism
vi,Q4664011,Wikipedia:Vandalism
vls,Q4664011,Wikipedia:Vandalism
yi,Q4664011,Wikipedia:Vandalism
zh-classical,Q4664011,Wikipedia:Vandalism
zh-yue,Q4664011,Wikipedia:Vandalism
zh,Q4664011,Wikipedia:Vandalism
af,Q4657574,"Project:Notability, inclusion and scope policy"
am,Q4657574,"Project:Notability, inclusion and scope policy"
an,Q4657574,"Project:Notability, inclusion and scope policy"
ar,Q4657574,"Project:Notability, inclusion and scope policy"
ary,Q4657574,"Project:Notability, inclusion and scope policy"
arz,Q4657574,"Project:Notability, inclusion and scope policy"
as,Q4657574,"Project:Notability, inclusion and scope policy"
azb,Q4657574,"Project:Notability, inclusion and scope policy"
az,Q4657574,"Project:Notability, inclusion and scope policy"
ba,Q4657574,"Project:Notability, inclusion and scope policy"
be-tarask,Q4657574,"Project:Notability, inclusion and scope policy"
be,Q4657574,"Project:Notability, inclusion and scope policy"
bg,Q4657574,"Project:Notability, inclusion and scope policy"
bh,Q4657574,"Project:Notability, inclusion and scope policy"
bn,Q4657574,"Project:Notability, inclusion and scope policy"
bs,Q4657574,"Project:Notability, inclusion and scope policy"
ca,Q4657574,"Project:Notability, inclusion and scope policy"
ckb,Q4657574,"Project:Notability, inclusion and scope policy"
cs,Q4657574,"Project:Notability, inclusion and scope policy"
cy,Q4657574,"Project:Notability, inclusion and scope policy"
da,Q4657574,"Project:Notability, inclusion and scope policy"
de,Q4657574,"Project:Notability, inclusion and scope policy"
el,Q4657574,"Project:Notability, inclusion and scope policy"
en,Q4657574,"Project:Notability, inclusion and scope policy"
eo,Q4657574,"Project:Notability, inclusion and scope policy"
es,Q4657574,"Project:Notability, inclusion and scope policy"
et,Q4657574,"Project:Notability, inclusion and scope policy"
fa,Q4657574,"Project:Notability, inclusion and scope policy"
fi,Q4657574,"Project:Notability, inclusion and scope policy"
fr,Q4657574,"Project:Notability, inclusion and scope policy"
ga,Q4657574,"Project:Notability, inclusion and scope policy"
glk,Q4657574,"Project:Notability, inclusion and scope policy"
gl,Q4657574,"Project:Notability, inclusion and scope policy"
gu,Q4657574,"Project:Notability, inclusion and scope policy"
he,Q4657574,"Project:Notability, inclusion and scope policy"
hi,Q4657574,"Project:Notability, inclusion and scope policy"
hr,Q4657574,"Project:Notability, inclusion and scope policy"
hu,Q4657574,"Project:Notability, inclusion and scope policy"
hy,Q4657574,"Project:Notability, inclusion and scope policy"
id,Q4657574,"Project:Notability, inclusion and scope policy"
is,Q4657574,"Project:Notability, inclusion and scope policy"
it,Q4657574,"Project:Notability, inclusion and scope policy"
ja,Q4657574,"Project:Notability, inclusion and scope policy"
jv,Q4657574,"Project:Notability, inclusion and scope policy"
ka,Q4657574,"Project:Notability, inclusion and scope policy"
kk,Q4657574,"Project:Notability, inclusion and scope policy"
ko,Q4657574,"Project:Notability, inclusion and scope policy"
la,Q4657574,"Project:Notability, inclusion and scope policy"
lb,Q4657574,"Project:Notability, inclusion and scope policy"
lt,Q4657574,"Project:Notability, inclusion and scope policy"
lv,Q4657574,"Project:Notability, inclusion and scope policy"
min,Q4657574,"Project:Notability, inclusion and scope policy"
mk,Q4657574,"Project:Notability, inclusion and scope policy"
ml,Q4657574,"Project:Notability, inclusion and scope policy"
mr,Q4657574,"Project:Notability, inclusion and scope policy"
ms,Q4657574,"Project:Notability, inclusion and scope policy"
my,Q4657574,"Project:Notability, inclusion and scope policy"
mzn,Q4657574,"Project:Notability, inclusion and scope policy"
nds,Q4657574,"Project:Notability, inclusion and scope policy"
ne,Q4657574,"Project:Notability, inclusion and scope policy"
nl,Q4657574,"Project:Notability, inclusion and scope policy"
no,Q4657574,"Project:Notability, inclusion and scope policy"
oc,Q4657574,"Project:Notability, inclusion and scope policy"
or,Q4657574,"Project:Notability, inclusion and scope policy"
pl,Q4657574,"Project:Notability, inclusion and scope policy"
pt,Q4657574,"Project:Notability, inclusion and scope policy"
ro,Q4657574,"Project:Notability, inclusion and scope policy"
ru,Q4657574,"Project:Notability, inclusion and scope policy"
sah,Q4657574,"Project:Notability, inclusion and scope policy"
sa,Q4657574,"Project:Notability, inclusion and scope policy"
scn,Q4657574,"Project:Notability, inclusion and scope policy"
sd,Q4657574,"Project:Notability, inclusion and scope policy"
sh,Q4657574,"Project:Notability, inclusion and scope policy"
simple,Q4657574,"Project:Notability, inclusion and scope policy"
si,Q4657574,"Project:Notability, inclusion and scope policy"
sk,Q4657574,"Project:Notability, inclusion and scope policy"
sl,Q4657574,"Project:Notability, inclusion and scope policy"
sq,Q4657574,"Project:Notability, inclusion and scope policy"
sr,Q4657574,"Project:Notability, inclusion and scope policy"
sv,Q4657574,"Project:Notability, inclusion and scope policy"
sw,Q4657574,"Project:Notability, inclusion and scope policy"
ta,Q4657574,"Project:Notability, inclusion and scope policy"
te,Q4657574,"Project:Notability, inclusion and scope policy"
tg,Q4657574,"Project:Notability, inclusion and scope policy"
th,Q4657574,"Project:Notability, inclusion and scope policy"
tk,Q4657574,"Project:Notability, inclusion and scope policy"
tr,Q4657574,"Project:Notability, inclusion and scope policy"
tt,Q4657574,"Project:Notability, inclusion and scope policy"
uk,Q4657574,"Project:Notability, inclusion and scope policy"
ur,Q4657574,"Project:Notability, inclusion and scope policy"
uz,Q4657574,"Project:Notability, inclusion and scope policy"
vec,Q4657574,"Project:Notability, inclusion and scope policy"
vi,Q4657574,"Project:Notability, inclusion and scope policy"
yi,Q4657574,"Project:Notability, inclusion and scope policy"
zh-yue,Q4657574,"Project:Notability, inclusion and scope policy"
zh,Q4657574,"Project:Notability, inclusion and scope policy"
af,Q642335,Wikipedia:Citing sources
am,Q642335,Wikipedia:Citing sources
ar,Q642335,Wikipedia:Citing sources
arz,Q642335,Wikipedia:Citing sources
as,Q642335,Wikipedia:Citing sources
azb,Q642335,Wikipedia:Citing sources
ba,Q642335,Wikipedia:Citing sources
be-tarask,Q642335,Wikipedia:Citing sources
be,Q642335,Wikipedia:Citing sources
bg,Q642335,Wikipedia:Citing sources
bn,Q642335,Wikipedia:Citing sources
br,Q642335,Wikipedia:Citing sources
bs,Q642335,Wikipedia:Citing sources
ca,Q642335,Wikipedia:Citing sources
cdo,Q642335,Wikipedia:Citing sources
ce,Q642335,Wikipedia:Citing sources
ckb,Q642335,Wikipedia:Citing sources
cs,Q642335,Wikipedia:Citing sources
cv,Q642335,Wikipedia:Citing sources
da,Q642335,Wikipedia:Citing sources
de,Q642335,Wikipedia:Citing sources
el,Q642335,Wikipedia:Citing sources
en,Q642335,Wikipedia:Citing sources
eo,Q642335,Wikipedia:Citing sources
es,Q642335,Wikipedia:Citing sources
et,Q642335,Wikipedia:Citing sources
eu,Q642335,Wikipedia:Citing sources
fa,Q642335,Wikipedia:Citing sources
fi,Q642335,Wikipedia:Citing sources
fr,Q642335,Wikipedia:Citing sources
ga,Q642335,Wikipedia:Citing sources
gl,Q642335,Wikipedia:Citing sources
gu,Q642335,Wikipedia:Citing sources
he,Q642335,Wikipedia:Citing sources
hr,Q642335,Wikipedia:Citing sources
hsb,Q642335,Wikipedia:Citing sources
hu,Q642335,Wikipedia:Citing sources
hy,Q642335,Wikipedia:Citing sources
id,Q642335,Wikipedia:Citing sources
ilo,Q642335,Wikipedia:Citing sources
is,Q642335,Wikipedia:Citing sources
it,Q642335,Wikipedia:Citing sources
ja,Q642335,Wikipedia:Citing sources
jv,Q642335,Wikipedia:Citing sources
ka,Q642335,Wikipedia:Citing sources
km,Q642335,Wikipedia:Citing sources
kn,Q642335,Wikipedia:Citing sources
ko,Q642335,Wikipedia:Citing sources
ks,Q642335,Wikipedia:Citing sources
ku,Q642335,Wikipedia:Citing sources
ky,Q642335,Wikipedia:Citing sources
la,Q642335,Wikipedia:Citing sources
lo,Q642335,Wikipedia:Citing sources
lt,Q642335,Wikipedia:Citing sources
lv,Q642335,Wikipedia:Citing sources
mai,Q642335,Wikipedia:Citing sources
min,Q642335,Wikipedia:Citing sources
mk,Q642335,Wikipedia:Citing sources
ml,Q642335,Wikipedia:Citing sources
mn,Q642335,Wikipedia:Citing sources
mr,Q642335,Wikipedia:Citing sources
ms,Q642335,Wikipedia:Citing sources
myv,Q642335,Wikipedia:Citing sources
my,Q642335,Wikipedia:Citing sources
nap,Q642335,Wikipedia:Citing sources
ne,Q642335,Wikipedia:Citing sources
nl,Q642335,Wikipedia:Citing sources
nn,Q642335,Wikipedia:Citing sources
no,Q642335,Wikipedia:Citing sources
oc,Q642335,Wikipedia:Citing sources
or,Q642335,Wikipedia:Citing sources
pl,Q642335,Wikipedia:Citing sources
ps,Q642335,Wikipedia:Citing sources
pt,Q642335,Wikipedia:Citing sources
ro,Q642335,Wikipedia:Citing sources
ru,Q642335,Wikipedia:Citing sources
sd,Q642335,Wikipedia:Citing sources
se,Q642335,Wikipedia:Citing sources
sh,Q642335,Wikipedia:Citing sources
simple,Q642335,Wikipedia:Citing sources
si,Q642335,Wikipedia:Citing sources
sk,Q642335,Wikipedia:Citing sources
